Team,Player,Position,GW,OPP,Home/Away,Result,Score,PTS,G,A,SOT,CC,SCR,STO,CS,INT,TW,PS,SV,AER,CLR,DIS,OG,GC,YC,RC
Crystal Palace,Yohan Cabaye,Mid,3,AVL,A,W,2-1,13,0,0,0,3,2,0,0,3,2,0,0,0,0,0,0,1,1,0
Crystal Palace,Yohan Cabaye,Mid,4,CHE,H,W,1-2,4.5,0,0,1,0,0,0,0,2,3,0,0,1,1,0,0,1,1,0
Crystal Palace,Bakary Sako,Mid,1,NOR,H,W,1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,Bakary Sako,Mid,2,ARS,A,L,1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,Bakary Sako,Mid,3,AVL,A,W,2-1,22,1,0,5,0,0,3,0,1,2,0,0,0,0,3,0,1,0,0
Crystal Palace,Bakary Sako,Mid,4,CHE,H,W,1-2,28,1,1,3,3,2,0,0,0,0,0,0,0,0,4,0,1,0,0
Crystal Palace,James McArthur,Mid,1,NOR,H,W,1-3,18,0,1,0,3,0,1,0,1,1,0,0,2,2,1,0,1,0,0
Crystal Palace,James McArthur,Mid,2,ARS,A,L,1-2,7,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,2,1,0
Crystal Palace,James McArthur,Mid,3,AVL,A,W,2-1,11,0,0,0,2,0,0,0,2,2,0,0,2,0,0,0,1,0,0
Crystal Palace,James McArthur,Mid,4,CHE,H,W,1-2,10,0,0,0,2,0,0,0,1,3,0,0,2,5,1,0,1,0,0
Crystal Palace,Wilfried Zaha,Mid,1,NOR,H,W,1-3,14,1,0,1,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0
Crystal Palace,Wilfried Zaha,Mid,2,ARS,A,L,1-2,3,0,0,0,1,1,2,0,0,0,0,0,0,0,3,0,2,0,0
Crystal Palace,Wilfried Zaha,Mid,3,AVL,A,W,2-1,3.5,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
Crystal Palace,Wilfried Zaha,Mid,4,CHE,H,W,1-2,8,0,0,0,2,0,2,0,0,1,0,0,0,0,1,0,0,0,0
Crystal Palace,Jordan Mutch,Mid,1,NOR,H,W,1-3,8,0,0,1,0,1,2,0,1,2,0,0,0,2,0,0,1,0,0
Crystal Palace,Jordan Mutch,Mid,2,ARS,A,L,1-2,0.5,0,0,0,0,0,0,0,3,1,0,0,1,0,4,0,1,0,0
Crystal Palace,Jordan Mutch,Mid,3,AVL,A,W,2-1,2.5,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,1,0,0
Crystal Palace,Jordan Mutch,Mid,4,CHE,H,W,1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,Yannick Bolasie,Mid,1,NOR,H,W,1-3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Crystal Palace,Yannick Bolasie,Mid,2,ARS,A,L,1-2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0
Crystal Palace,Yannick Bolasie,Mid,3,AVL,A,W,2-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,Yannick Bolasie,Mid,4,CHE,H,W,1-2,4.5,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
Crystal Palace,Chung-yong Lee,Mid,1,NOR,H,W,1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,Chung-yong Lee,Mid,2,ARS,A,L,1-2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Crystal Palace,Chung-yong Lee,Mid,3,AVL,A,W,2-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,Chung-yong Lee,Mid,4,CHE,H,W,1-2,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Crystal Palace,Mile Jedinak,Mid,1,NOR,H,W,1-3,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Crystal Palace,Mile Jedinak,Mid,2,ARS,A,L,1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,Mile Jedinak,Mid,3,AVL,A,W,2-1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Crystal Palace,Mile Jedinak,Mid,4,CHE,H,W,1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,Joe Ledley,Mid,1,NOR,H,W,1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,Joe Ledley,Mid,2,ARS,A,L,1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,Joe Ledley,Mid,3,AVL,A,W,2-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,Joe Ledley,Mid,4,CHE,H,W,1-2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Crystal Palace,Jonathan Williams,Mid,1,NOR,H,W,1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,Jonathan Williams,Mid,2,ARS,A,L,1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,Jonathan Williams,Mid,3,AVL,A,W,2-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,Jonathan Williams,Mid,4,CHE,H,W,1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Phil Jagielka,Def,1,WAT,A,D,2-2,5,0,0,0,0,0,0,0,1,0,0,0,8,8,2,0,2,0,0
Everton,Phil Jagielka,Def,2,SOU,H,W,0-3,22.5,0,0,0,1,1,0,1,6,0,0,0,4,10,0,0,0,0,0
Everton,Phil Jagielka,Def,3,MCI,A,L,0-2,-1,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,2,0,0
Everton,Phil Jagielka,Def,4,TOT,H,D,0-0,12,0,0,0,0,0,0,1,3,1,0,0,1,4,0,0,0,0,0
Everton,John Stones,Def,1,WAT,A,D,2-2,9.25,0,0,0,0,0,0,0,4,3,0,0,5,5,0,0,2,0,0
Everton,John Stones,Def,2,SOU,H,W,0-3,11.75,0,0,0,0,0,0,1,1,2,0,0,2,3,0,0,0,0,0
Everton,John Stones,Def,3,MCI,A,L,0-2,4.25,0,0,0,0,0,1,0,1,4,0,0,2,5,1,0,2,0,0
Everton,John Stones,Def,4,TOT,H,D,0-0,9.25,0,0,0,0,0,0,1,0,0,0,0,2,5,0,0,0,0,0
Everton,Seamus Coleman,Def,1,WAT,A,D,2-2,-2,0,0,0,0,1,3,0,2,0,0,0,0,0,1,0,2,1,0
Everton,Seamus Coleman,Def,2,SOU,H,W,0-3,21.5,0,1,0,1,0,0,1,1,1,0,0,1,6,0,0,0,0,0
Everton,Seamus Coleman,Def,3,MCI,A,L,0-2,3.5,0,0,0,0,0,3,0,2,1,0,0,1,2,0,0,2,0,0
Everton,Seamus Coleman,Def,4,TOT,H,D,0-0,8.25,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0
Everton,Bryan Oviedo,Def,1,WAT,A,D,2-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Everton,Bryan Oviedo,Def,2,SOU,H,W,0-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Bryan Oviedo,Def,3,MCI,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Bryan Oviedo,Def,4,TOT,H,D,0-0,18.25,0,0,0,3,2,1,1,0,2,0,0,0,1,2,0,0,0,0
Everton,Tyias Browning,Def,1,WAT,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Tyias Browning,Def,2,SOU,H,W,0-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Tyias Browning,Def,3,MCI,A,L,0-2,1.5,0,0,0,0,0,0,0,2,1,0,0,2,2,0,0,2,0,0
Everton,Tyias Browning,Def,4,TOT,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Luke Garbutt,Def,1,WAT,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Luke Garbutt,Def,2,SOU,H,W,0-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Luke Garbutt,Def,3,MCI,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Luke Garbutt,Def,4,TOT,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Tony Hibbert,Def,1,WAT,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Tony Hibbert,Def,2,SOU,H,W,0-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Tony Hibbert,Def,3,MCI,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Tony Hibbert,Def,4,TOT,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Leighton Baines,Def,1,WAT,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Leighton Baines,Def,2,SOU,H,W,0-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Leighton Baines,Def,3,MCI,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Leighton Baines,Def,4,TOT,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Antonee Robinson,Def,1,WAT,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Antonee Robinson,Def,2,SOU,H,W,0-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Antonee Robinson,Def,3,MCI,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Antonee Robinson,Def,4,TOT,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Ramiro Funes Mori,Def,1,WAT,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Ramiro Funes Mori,Def,2,SOU,H,W,0-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Ramiro Funes Mori,Def,3,MCI,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Ramiro Funes Mori,Def,4,TOT,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Brendan Galloway,Def,1,WAT,A,D,2-2,-2.25,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0
Everton,Brendan Galloway,Def,2,SOU,H,W,0-3,1,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0
Everton,Brendan Galloway,Def,3,MCI,A,L,0-2,0.25,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Everton,Brendan Galloway,Def,4,TOT,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Romelu Lukaku,For,1,WAT,A,D,2-2,12.5,0,1,1,1,0,0,0,0,0,0,0,5,0,1,0,2,0,0
Everton,Romelu Lukaku,For,2,SOU,H,W,0-3,29.5,2,0,2,1,1,3,0,0,0,0,0,3,0,1,0,0,0,0
Everton,Romelu Lukaku,For,3,MCI,A,L,0-2,0.5,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,2,0,0
Everton,Romelu Lukaku,For,4,TOT,H,D,0-0,0.5,0,0,0,1,0,0,0,0,1,0,0,3,0,5,0,0,0,0
Everton,Arouna Kone,For,1,WAT,A,D,2-2,19,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Everton,Arouna Kone,For,2,SOU,H,W,0-3,8.5,0,1,0,1,1,1,0,0,0,0,0,1,0,3,0,0,0,0
Everton,Arouna Kone,For,3,MCI,A,L,0-2,6,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0
Everton,Arouna Kone,For,4,TOT,H,D,0-0,2,0,0,0,0,0,3,0,0,1,0,0,2,0,3,0,0,0,0
Everton,Gerard Deulofeu,For,1,WAT,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Gerard Deulofeu,For,2,SOU,H,W,0-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Gerard Deulofeu,For,3,MCI,A,L,0-2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
Everton,Gerard Deulofeu,For,4,TOT,H,D,0-0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Steven Naismith,For,1,WAT,A,D,2-2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Everton,Steven Naismith,For,2,SOU,H,W,0-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Everton,Steven Naismith,For,3,MCI,A,L,0-2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Everton,Steven Naismith,For,4,TOT,H,D,0-0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Everton,Leandro Rodriguez,For,1,WAT,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Leandro Rodriguez,For,2,SOU,H,W,0-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Leandro Rodriguez,For,3,MCI,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Leandro Rodriguez,For,4,TOT,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Conor McAleny,For,1,WAT,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Conor McAleny,For,2,SOU,H,W,0-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Conor McAleny,For,3,MCI,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Conor McAleny,For,4,TOT,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Tim Howard,Goa,1,WAT,A,D,2-2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0
Everton,Tim Howard,Goa,2,SOU,H,W,0-3,16,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0
Everton,Tim Howard,Goa,3,MCI,A,L,0-2,10,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0
Everton,Tim Howard,Goa,4,TOT,H,D,0-0,20,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0
Everton,Joel Robles,Goa,1,WAT,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Joel Robles,Goa,2,SOU,H,W,0-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Joel Robles,Goa,3,MCI,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Joel Robles,Goa,4,TOT,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Jindrich Stanek,Goa,1,WAT,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Jindrich Stanek,Goa,2,SOU,H,W,0-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Jindrich Stanek,Goa,3,MCI,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Jindrich Stanek,Goa,4,TOT,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Ross Barkley,Mid,1,WAT,A,D,2-2,19,1,0,2,1,1,1,0,2,0,0,0,0,0,1,0,2,0,0
Everton,Ross Barkley,Mid,2,SOU,H,W,0-3,23.5,1,1,2,1,0,2,1,1,0,0,0,3,0,1,0,0,1,0
Everton,Ross Barkley,Mid,3,MCI,A,L,0-2,9,0,0,1,1,0,6,0,0,1,0,0,0,0,3,0,2,0,0
Everton,Ross Barkley,Mid,4,TOT,H,D,0-0,4,0,0,1,0,0,3,1,0,0,0,0,0,1,2,0,0,0,0
Everton,Tom Cleerley,Mid,1,WAT,A,D,2-2,11,0,0,0,3,1,0,0,1,1,0,0,0,1,1,0,2,0,0
Everton,Tom Cleerley,Mid,2,SOU,H,W,0-3,4.5,0,0,0,1,0,0,1,0,1,0,0,1,2,1,0,0,0,0
Everton,Tom Cleerley,Mid,3,MCI,A,L,0-2,16,0,0,0,3,1,1,0,2,3,0,0,0,0,0,0,1,0,0
Everton,Tom Cleerley,Mid,4,TOT,H,D,0-0,5,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Everton,Gareth Barry,Mid,1,WAT,A,D,2-2,8.5,0,0,1,1,0,1,0,1,2,0,0,1,2,1,0,2,0,0
Everton,Gareth Barry,Mid,2,SOU,H,W,0-3,7,0,0,0,0,0,0,1,3,2,0,0,2,2,0,0,0,0,0
Everton,Gareth Barry,Mid,3,MCI,A,L,0-2,5,0,0,0,1,0,0,0,2,1,0,0,4,2,3,0,2,0,0
Everton,Gareth Barry,Mid,4,TOT,H,D,0-0,0.5,0,0,0,0,0,0,1,2,1,0,0,1,0,1,0,0,1,0
Everton,James McCarthy,Mid,1,WAT,A,D,2-2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,2,0,0
Everton,James McCarthy,Mid,2,SOU,H,W,0-3,3,0,0,0,1,0,0,1,2,1,0,0,0,5,1,0,0,1,0
Everton,James McCarthy,Mid,3,MCI,A,L,0-2,6,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,2,0,0
Everton,James McCarthy,Mid,4,TOT,H,D,0-0,3,0,0,0,0,0,0,1,1,2,0,0,0,2,1,0,0,0,0
Everton,Kevin Mirallas,Mid,1,WAT,A,D,2-2,0.5,0,0,0,1,1,0,0,0,2,0,0,1,0,6,0,1,0,0
Everton,Kevin Mirallas,Mid,2,SOU,H,W,0-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Kevin Mirallas,Mid,3,MCI,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Kevin Mirallas,Mid,4,TOT,H,D,0-0,3.5,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Everton,Leon Osman,Mid,1,WAT,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Leon Osman,Mid,2,SOU,H,W,0-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Leon Osman,Mid,3,MCI,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Leon Osman,Mid,4,TOT,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Aaron Lennon,Mid,1,WAT,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Aaron Lennon,Mid,2,SOU,H,W,0-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Aaron Lennon,Mid,3,MCI,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Aaron Lennon,Mid,4,TOT,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Darron Gibson,Mid,1,WAT,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Darron Gibson,Mid,2,SOU,H,W,0-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Darron Gibson,Mid,3,MCI,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Darron Gibson,Mid,4,TOT,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Steven Pienaar,Mid,1,WAT,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Steven Pienaar,Mid,2,SOU,H,W,0-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Steven Pienaar,Mid,3,MCI,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Steven Pienaar,Mid,4,TOT,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Aiden McGeady,Mid,1,WAT,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Aiden McGeady,Mid,2,SOU,H,W,0-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Aiden McGeady,Mid,3,MCI,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Aiden McGeady,Mid,4,TOT,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Conor Grant,Mid,1,WAT,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Conor Grant,Mid,2,SOU,H,W,0-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Conor Grant,Mid,3,MCI,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Conor Grant,Mid,4,TOT,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Ryan Ledson,Mid,1,WAT,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Ryan Ledson,Mid,2,SOU,H,W,0-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Ryan Ledson,Mid,3,MCI,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Ryan Ledson,Mid,4,TOT,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Joe Williams,Mid,1,WAT,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Joe Williams,Mid,2,SOU,H,W,0-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Joe Williams,Mid,3,MCI,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Joe Williams,Mid,4,TOT,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Muhamed Besic,Mid,1,WAT,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Muhamed Besic,Mid,2,SOU,H,W,0-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Muhamed Besic,Mid,3,MCI,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,Muhamed Besic,Mid,4,TOT,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leicester,Ritchie de Laet,Def,1,SUN,A,W,4-2,2.5,0,0,0,0,0,0,0,1,5,0,0,0,2,0,0,2,0,0
Leicester,Ritchie de Laet,Def,2,WHU,H,W,1-2,4.5,0,0,0,0,0,0,0,1,3,0,0,2,2,0,0,1,0,0
Leicester,Ritchie de Laet,Def,3,TOT,A,D,1-1,12.5,0,0,0,2,0,1,0,3,2,0,0,3,2,1,0,1,0,0
Leicester,Ritchie de Laet,Def,4,BOU,H,D,1-1,3.25,0,0,0,0,0,0,0,4,3,0,0,1,1,0,0,1,1,0
Leicester,Wes Morgan,Def,1,SUN,A,W,4-2,1.75,0,0,0,0,0,0,0,2,1,0,0,2,3,0,0,2,0,0
Leicester,Wes Morgan,Def,2,WHU,H,W,1-2,5.75,0,0,0,0,0,0,0,3,0,0,0,3,7,0,0,1,0,0
Leicester,Wes Morgan,Def,3,TOT,A,D,1-1,5.5,0,0,1,0,0,0,0,1,1,0,0,3,2,0,0,1,0,0
Leicester,Wes Morgan,Def,4,BOU,H,D,1-1,6.5,0,0,0,0,0,1,0,4,2,0,0,1,2,0,0,1,0,0
Leicester,Robert Huth,Def,1,SUN,A,W,4-2,-1.25,0,0,0,0,0,0,0,0,1,0,0,2,7,2,0,2,0,0
Leicester,Robert Huth,Def,2,WHU,H,W,1-2,5.25,0,0,1,0,0,0,0,1,0,0,0,2,9,0,0,1,0,0
Leicester,Robert Huth,Def,3,TOT,A,D,1-1,4,0,0,0,0,0,0,0,1,1,0,0,3,4,0,0,1,0,0
Leicester,Robert Huth,Def,4,BOU,H,D,1-1,6,0,0,0,0,0,0,0,5,1,0,0,4,4,0,0,1,1,0
Leicester,Christian Fuchs,Def,1,SUN,A,W,4-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leicester,Christian Fuchs,Def,2,WHU,H,W,1-2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Leicester,Christian Fuchs,Def,3,TOT,A,D,1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leicester,Christian Fuchs,Def,4,BOU,H,D,1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leicester,Marcin Wasilewski,Def,1,SUN,A,W,4-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leicester,Marcin Wasilewski,Def,2,WHU,H,W,1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leicester,Marcin Wasilewski,Def,3,TOT,A,D,1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leicester,Marcin Wasilewski,Def,4,BOU,H,D,1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leicester,Danny Simpson,Def,1,SUN,A,W,4-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leicester,Danny Simpson,Def,2,WHU,H,W,1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leicester,Danny Simpson,Def,3,TOT,A,D,1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leicester,Danny Simpson,Def,4,BOU,H,D,1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leicester,Paul Konchesky,Def,1,SUN,A,W,4-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leicester,Paul Konchesky,Def,2,WHU,H,W,1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
