Team,Player,Position,GW,OPP,Home/Away,Result,Score,PTS,G,A,SOT,CC,SCR,STO,CS,INT,TW,PS,SV,AER,CLR,DIS,OG,GC,YC,RC
Arsenal,Danny Welbeck,For,1,WHU,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Danny Welbeck,For,2,CRY,H,W,1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Danny Welbeck,For,3,LIV,A,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Danny Welbeck,For,4,NEW,H,W,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Joel Campbell,For,1,WHU,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Joel Campbell,For,2,CRY,H,W,1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Joel Campbell,For,3,LIV,A,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Joel Campbell,For,4,NEW,H,W,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Chuba Akpom,For,1,WHU,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Chuba Akpom,For,2,CRY,H,W,1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Chuba Akpom,For,3,LIV,A,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Chuba Akpom,For,4,NEW,H,W,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Petr Cech,Goa,1,WHU,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
Arsenal,Petr Cech,Goa,2,CRY,H,W,1-2,10.75,0,0,0,1,0,0,0,0,0,0,3,0,3,0,0,1,0,0
Arsenal,Petr Cech,Goa,3,LIV,A,D,0-0,24.25,0,0,0,0,0,0,1,0,0,0,8,0,1,0,0,0,0,0
Arsenal,Petr Cech,Goa,4,NEW,H,W,0-1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Wojciech Szczesny,Goa,1,WHU,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
